Wavelength (nm),% Transmission,,,,,,,,,,
302.4,0.00032725,,,,,,,,,,
302.6,0.00030958,,,,,,,,,,
302.8,0.00029286,,,,,,,,,,
303,0.00027705,,,,,,,,,,
303.2,0.00026209,,,,,,,,,,
303.4,0.00026648,,,,,,,,,,
303.6,0.00029082,,,,,,,,,,
303.8,0.00031737,,,,,,,,,,
304,0.00034634,,,,,,,,,,
304.2,0.00037797,,,,,,,,,,
304.4,0.00041248,,,,,,,,,,
304.6,0.00045013,,,,,,,,,,
304.8,0.00049123,,,,,,,,,,
305,0.00053608,,,,,,,,,,
305.2,0.00070772,,,,,,,,,,
305.4,0.00070948,,,,,,,,,,
305.6,0.00071125,,,,,,,,,,
305.8,0.00071302,,,,,,,,,,
306,0.00071479,,,,,,,,,,
306.2,0.00071657,,,,,,,,,,
306.4,0.00071836,,,,,,,,,,
306.6,0.00072015,,,,,,,,,,
306.8,0.00072194,,,,,,,,,,
307,0.00072374,,,,,,,,,,
307.2,0.00072555,,,,,,,,,,
307.4,0.00072735,,,,,,,,,,
307.6,0.00072916,,,,,,,,,,
307.8,0.00073098,,,,,,,,,,
308,0.00073280,,,,,,,,,,
308.2,0.00073605,,,,,,,,,,
308.4,0.00075037,,,,,,,,,,
308.6,0.00076496,,,,,,,,,,
308.8,0.00077984,,,,,,,,,,
309,0.00079502,,,,,,,,,,
309.2,0.00081048,,,,,,,,,,
309.4,0.00082625,,,,,,,,,,
309.6,0.00084232,,,,,,,,,,
309.8,0.00085871,,,,,,,,,,
310,0.00087542,,,,,,,,,,
310.2,0.00089245,,,,,,,,,,
310.4,0.00090981,,,,,,,,,,
310.6,0.00092751,,,,,,,,,,
310.8,0.00094555,,,,,,,,,,
311,0.00096395,,,,,,,,,,
311.2,0.00098270,,,,,,,,,,
311.4,0.00098196,,,,,,,,,,
311.6,0.00097601,,,,,,,,,,
311.8,0.00097010,,,,,,,,,,
312,0.00096422,,,,,,,,,,
312.2,0.00095838,,,,,,,,,,
312.4,0.00095257,,,,,,,,,,
312.6,0.00094680,,,,,,,,,,
312.8,0.00094107,,,,,,,,,,
313,0.00093537,,,,,,,,,,
313.2,0.00092970,,,,,,,,,,
313.4,0.00092407,,,,,,,,,,
313.6,0.00091847,,,,,,,,,,
313.8,0.00091291,,,,,,,,,,
314,0.00090738,,,,,,,,,,
314.2,0.00090188,,,,,,,,,,
314.4,0.00090701,,,,,,,,,,
314.6,0.00092433,,,,,,,,,,
314.8,0.00094198,,,,,,,,,,
315,0.00095997,,,,,,,,,,
315.2,0.00097830,,,,,,,,,,
315.4,0.00099699,,,,,,,,,,
315.6,0.00101600,,,,,,,,,,
315.8,0.00103540,,,,,,,,,,
316,0.00105520,,,,,,,,,,
316.2,0.00107540,,,,,,,,,,
316.4,0.00109590,,,,,,,,,,
316.6,0.00111680,,,,,,,,,,
316.8,0.00113810,,,,,,,,,,
317,0.00115990,,,,,,,,,,
317.2,0.00118200,,,,,,,,,,
317.4,0.00120710,,,,,,,,,,
317.6,0.00124710,,,,,,,,,,
317.8,0.00128830,,,,,,,,,,
318,0.00133090,,,,,,,,,,
318.2,0.00137490,,,,,,,,,,
318.4,0.00142030,,,,,,,,,,
318.6,0.00146730,,,,,,,,,,
318.8,0.00151580,,,,,,,,,,
319,0.00156590,,,,,,,,,,
319.2,0.00161760,,,,,,,,,,
319.4,0.00167110,,,,,,,,,,
319.6,0.00172640,,,,,,,,,,
319.8,0.00178340,,,,,,,,,,
320,0.00184240,,,,,,,,,,
320.2,0.00190330,,,,,,,,,,
320.4,0.00196620,,,,,,,,,,
320.6,0.00204040,,,,,,,,,,
320.8,0.00211920,,,,,,,,,,
321,0.00220110,,,,,,,,,,
321.2,0.00228610,,,,,,,,,,
321.4,0.00237440,,,,,,,,,,
321.6,0.00246600,,,,,,,,,,
321.8,0.00256130,,,,,,,,,,
322,0.00266020,,,,,,,,,,
322.2,0.00276290,,,,,,,,,,
322.4,0.00286960,,,,,,,,,,
322.6,0.00298040,,,,,,,,,,
322.8,0.00309550,,,,,,,,,,
323,0.00321510,,,,,,,,,,
323.2,0.00333920,,,,,,,,,,
323.4,0.00346820,,,,,,,,,,
323.6,0.00351040,,,,,,,,,,
323.8,0.00347580,,,,,,,,,,
324,0.00344160,,,,,,,,,,
324.2,0.00340770,,,,,,,,,,
324.4,0.00337420,,,,,,,,,,
324.6,0.00334100,,,,,,,,,,
324.8,0.00330810,,,,,,,,,,
325,0.00327550,,,,,,,,,,
325.2,0.00324330,,,,,,,,,,
325.4,0.00321130,,,,,,,,,,
325.6,0.00317970,,,,,,,,,,
325.8,0.00314840,,,,,,,,,,
326,0.00311740,,,,,,,,,,
326.2,0.00308670,,,,,,,,,,
326.4,0.00305640,,,,,,,,,,
326.6,0.00298320,,,,,,,,,,
326.8,0.00278250,,,,,,,,,,
327,0.00259530,,,,,,,,,,
327.2,0.00242060,,,,,,,,,,
327.4,0.00225780,,,,,,,,,,
327.6,0.00210590,,,,,,,,,,
327.8,0.00196420,,,,,,,,,,
328,0.00183200,,,,,,,,,,
328.2,0.00170880,,,,,,,,,,
328.4,0.00159380,,,,,,,,,,
328.6,0.00148660,,,,,,,,,,
328.8,0.00138650,,,,,,,,,,
329,0.00129320,,,,,,,,,,
329.2,0.00120620,,,,,,,,,,
329.4,0.00112510,,,,,,,,,,
329.6,0.00104940,,,,,,,,,,
329.8,0.00098337,,,,,,,,,,
330,0.00092175,,,,,,,,,,
330.2,0.00086398,,,,,,,,,,
330.4,0.00080984,,,,,,,,,,
330.6,0.00075909,,,,,,,,,,
330.8,0.00071152,,,,,,,,,,
331,0.00066693,,,,,,,,,,
331.2,0.00062513,,,,,,,,,,
331.4,0.00058596,,,,,,,,,,
331.6,0.00054923,,,,,,,,,,
331.8,0.00051482,,,,,,,,,,
332,0.00048255,,,,,,,,,,
332.2,0.00045231,,,,,,,,,,
332.4,0.00042397,,,,,,,,,,
332.6,0.00039740,,,,,,,,,,
332.8,0.00038614,,,,,,,,,,
333,0.00038222,,,,,,,,,,
333.2,0.00037834,,,,,,,,,,
333.4,0.00037451,,,,,,,,,,
333.6,0.00037071,,,,,,,,,,
333.8,0.00036694,,,,,,,,,,
334,0.00036322,,,,,,,,,,
334.2,0.00035953,,,,,,,,,,
334.4,0.00035589,,,,,,,,,,
334.6,0.00035228,,,,,,,,,,
334.8,0.00034870,,,,,,,,,,
335,0.00034516,,,,,,,,,,
335.2,0.00034166,,,,,,,,,,
335.4,0.00033819,,,,,,,,,,
335.6,0.00033476,,,,,,,,,,
335.8,0.00033121,,,,,,,,,,
336,0.00032745,,,,,,,,,,
336.2,0.00032372,,,,,,,,,,
336.4,0.00032004,,,,,,,,,,
336.6,0.00031641,,,,,,,,,,
336.8,0.00031281,,,,,,,,,,
337,0.00030926,,,,,,,,,,
337.2,0.00030574,,,,,,,,,,
337.4,0.00030227,,,,,,,,,,
337.6,0.00029883,,,,,,,,,,
337.8,0.00029543,,,,,,,,,,
338,0.00029208,,,,,,,,,,
338.2,0.00028876,,,,,,,,,,
338.4,0.00028547,,,,,,,,,,
338.6,0.00028223,,,,,,,,,,
338.8,0.00027928,,,,,,,,,,
339,0.00027867,,,,,,,,,,
339.2,0.00027805,,,,,,,,,,
339.4,0.00027744,,,,,,,,,,
339.6,0.00027683,,,,,,,,,,
339.8,0.00027622,,,,,,,,,,
340,0.00027562,,,,,,,,,,
340.2,0.00027501,,,,,,,,,,
340.4,0.00027441,,,,,,,,,,
340.6,0.00027381,,,,,,,,,,
340.8,0.00027320,,,,,,,,,,
341,0.00027260,,,,,,,,,,
341.2,0.00027201,,,,,,,,,,
341.4,0.00027141,,,,,,,,,,
341.6,0.00027081,,,,,,,,,,
341.8,0.00027022,,,,,,,,,,
342,0.00026635,,,,,,,,,,
342.2,0.00026188,,,,,,,,,,
342.4,0.00025748,,,,,,,,,,
342.6,0.00025316,,,,,,,,,,
342.8,0.00024890,,,,,,,,,,
343,0.00024473,,,,,,,,,,
343.2,0.00024062,,,,,,,,,,
343.4,0.00023658,,,,,,,,,,
343.6,0.00023261,,,,,,,,,,
343.8,0.00022870,,,,,,,,,,
344,0.00022486,,,,,,,,,,
344.2,0.00022108,,,,,,,,,,
344.4,0.00021737,,,,,,,,,,
344.6,0.00021372,,,,,,,,,,
344.8,0.00021013,,,,,,,,,,
345,0.00020817,,,,,,,,,,
345.2,0.00020746,,,,,,,,,,
345.4,0.00020675,,,,,,,,,,
345.6,0.00020604,,,,,,,,,,
345.8,0.00020534,,,,,,,,,,
346,0.00020463,,,,,,,,,,
346.2,0.00020393,,,,,,,,,,
346.4,0.00020323,,,,,,,,,,
346.6,0.00020254,,,,,,,,,,
346.8,0.00020184,,,,,,,,,,
347,0.00020115,,,,,,,,,,
347.2,0.00020046,,,,,,,,,,
347.4,0.00019978,,,,,,,,,,
347.6,0.00019909,,,,,,,,,,
347.8,0.00019841,,,,,,,,,,
348,0.00019740,,,,,,,,,,
348.2,0.00019562,,,,,,,,,,
348.4,0.00019386,,,,,,,,,,
348.6,0.00019211,,,,,,,,,,
348.8,0.00019038,,,,,,,,,,
349,0.00018867,,,,,,,,,,
349.2,0.00018697,,,,,,,,,,
349.4,0.00018529,,,,,,,,,,
349.6,0.00018362,,,,,,,,,,
349.8,0.00018196,,,,,,,,,,
350,0.00018033,,,,,,,,,,
350.2,0.00017870,,,,,,,,,,
350.4,0.00017709,,,,,,,,,,
350.6,0.00017550,,,,,,,,,,
350.8,0.00017392,,,,,,,,,,
351,0.00017241,,,,,,,,,,
351.2,0.00017207,,,,,,,,,,
351.4,0.00017174,,,,,,,,,,
351.6,0.00017141,,,,,,,,,,
351.8,0.00017107,,,,,,,,,,
352,0.00017074,,,,,,,,,,
352.2,0.00017041,,,,,,,,,,
352.4,0.00017008,,,,,,,,,,
352.6,0.00016975,,,,,,,,,,
352.8,0.00016942,,,,,,,,,,
353,0.00016909,,,,,,,,,,
353.2,0.00016877,,,,,,,,,,
353.4,0.00016844,,,,,,,,,,
353.6,0.00016811,,,,,,,,,,
353.8,0.00016779,,,,,,,,,,
354,0.00016746,,,,,,,,,,
354.2,0.00016822,,,,,,,,,,
354.4,0.00016926,,,,,,,,,,
354.6,0.00017032,,,,,,,,,,
354.8,0.00017138,,,,,,,,,,
355,0.00017244,,,,,,,,,,
355.2,0.00017351,,,,,,,,,,
355.4,0.00017459,,,,,,,,,,
355.6,0.00017568,,,,,,,,,,
355.8,0.00017677,,,,,,,,,,
356,0.00017787,,,,,,,,,,
356.2,0.00017898,,,,,,,,,,
356.4,0.00018009,,,,,,,,,,
356.6,0.00018121,,,,,,,,,,
356.8,0.00018234,,,,,,,,,,
357,0.00018347,,,,,,,,,,
357.2,0.00018262,,,,,,,,,,
357.4,0.00018013,,,,,,,,,,
357.6,0.00017768,,,,,,,,,,
357.8,0.00017525,,,,,,,,,,
358,0.00017286,,,,,,,,,,
358.2,0.00017051,,,,,,,,,,
358.4,0.00016818,,,,,,,,,,
358.6,0.00016589,,,,,,,,,,
358.8,0.00016363,,,,,,,,,,
359,0.00016140,,,,,,,,,,
359.2,0.00015920,,,,,,,,,,
359.4,0.00015703,,,,,,,,,,
359.6,0.00015489,,,,,,,,,,
359.8,0.00015278,,,,,,,,,,
360,0.00015070,,,,,,,,,,
360.2,0.00015104,,,,,,,,,,
360.4,0.00015699,,,,,,,,,,
360.6,0.00016318,,,,,,,,,,
360.8,0.00016962,,,,,,,,,,
361,0.00017631,,,,,,,,,,
361.2,0.00018326,,,,,,,,,,
361.4,0.00019049,,,,,,,,,,
361.6,0.00019800,,,,,,,,,,
361.8,0.00020581,,,,,,,,,,
362,0.00021392,,,,,,,,,,
362.2,0.00022236,,,,,,,,,,
362.4,0.00023113,,,,,,,,,,
362.6,0.00024024,,,,,,,,,,
362.8,0.00024971,,,,,,,,,,
363,0.00025956,,,,,,,,,,
363.2,0.00026527,,,,,,,,,,
363.4,0.00021652,,,,,,,,,,
363.6,0.00017672,,,,,,,,,,
363.8,0.00014424,,,,,,,,,,
364,0.00011773,,,,,,,,,,
364.2,0.00009610,,,,,,,,,,
364.4,0.00007844,,,,,,,,,,
364.6,0.00006402,,,,,,,,,,
364.8,0.00005226,,,,,,,,,,
365,0.00004265,,,,,,,,,,
365.2,0.00007880,,,,,,,,,,
365.4,0.00006883,,,,,,,,,,
365.6,0.00007482,,,,,,,,,,
365.8,0.00008193,,,,,,,,,,
366,0.00008150,,,,,,,,,,
366.2,0.00007825,,,,,,,,,,
366.4,0.00007550,,,,,,,,,,
366.6,0.00006677,,,,,,,,,,
366.8,0.00007991,,,,,,,,,,
367,0.00007527,,,,,,,,,,
367.2,0.00008011,,,,,,,,,,
367.4,0.00007188,,,,,,,,,,
367.6,0.00007708,,,,,,,,,,
367.8,0.00008052,,,,,,,,,,
368,0.00008155,,,,,,,,,,
368.2,0.00007435,,,,,,,,,,
368.4,0.00007458,,,,,,,,,,
368.6,0.00007507,,,,,,,,,,
368.8,0.00008398,,,,,,,,,,
369,0.00007590,,,,,,,,,,
369.2,0.00007517,,,,,,,,,,
369.4,0.00007130,,,,,,,,,,
369.6,0.00007779,,,,,,,,,,
369.8,0.00007078,,,,,,,,,,
370,0.00008474,,,,,,,,,,
370.2,0.00008134,,,,,,,,,,
370.4,0.00007514,,,,,,,,,,
370.6,0.00006900,,,,,,,,,,
370.8,0.00007010,,,,,,,,,,
