Typical Measured Spectrum of Semrock FF01-460/60 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
270.0	3.8755e-05
270.2	3.8663e-05
270.4	3.857e-05
270.6	3.8478e-05
270.8	3.8386e-05
271.0	3.8294e-05
271.2	3.8203e-05
271.4	3.8111e-05
271.6	3.802e-05
271.8	3.7929e-05
272.0	3.7838e-05
272.2	3.7748e-05
272.4	3.7695e-05
272.6	3.7761e-05
272.8	3.7828e-05
273.0	3.7895e-05
273.2	3.7961e-05
273.4	3.8028e-05
273.6	3.8096e-05
273.8	3.8163e-05
274.0	3.823e-05
274.2	3.8298e-05
274.4	3.8365e-05
274.6	3.8433e-05
274.8	3.8501e-05
275.0	3.8569e-05
275.2	3.6651e-05
275.4	3.4829e-05
275.6	3.3754e-05
275.8	3.359e-05
276.0	3.3428e-05
276.2	3.3267e-05
276.4	3.3106e-05
276.6	3.2946e-05
276.8	3.2787e-05
277.0	3.2628e-05
277.2	3.247e-05
277.4	3.2313e-05
277.6	3.2157e-05
277.8	3.2002e-05
278.0	3.1847e-05
278.2	3.1693e-05
278.4	3.154e-05
278.6	3.1163e-05
278.8	2.9051e-05
279.0	2.7081e-05
279.2	2.5246e-05
279.4	2.3535e-05
279.6	2.1939e-05
279.8	2.0452e-05
280.0	1.9066e-05
280.2	1.7774e-05
280.4	1.6569e-05
280.6	1.5446e-05
280.8	1.4399e-05
281.0	1.3423e-05
281.2	1.2513e-05
281.4	1.1665e-05
281.6	1.0874e-05
281.8	1.0962e-05
282.0	1.1276e-05
282.2	1.1598e-05
282.4	1.193e-05
282.6	1.2272e-05
282.8	1.2623e-05
283.0	1.2984e-05
283.2	1.3355e-05
283.4	1.3738e-05
283.6	1.4131e-05
283.8	1.4535e-05
284.0	1.4951e-05
284.2	1.5379e-05
284.4	1.5819e-05
284.6	1.6271e-05
284.8	1.6056e-05
285.0	1.5174e-05
285.2	1.4341e-05
285.4	1.3553e-05
285.6	1.2808e-05
285.8	1.2104e-05
286.0	1.1439e-05
286.2	1.0811e-05
286.4	1.0217e-05
286.6	9.6556e-06
286.8	9.1251e-06
287.0	8.6238e-06
287.2	8.15e-06
287.4	7.7022e-06
287.6	7.2791e-06
287.8	6.9597e-06
288.0	7.0046e-06
288.2	7.0497e-06
288.4	7.0951e-06
288.6	7.1408e-06
288.8	7.1868e-06
289.0	7.2331e-06
289.2	7.2797e-06
289.4	7.3266e-06
289.6	7.3739e-06
289.8	7.4214e-06
290.0	7.4692e-06
290.2	7.5173e-06
290.4	7.5657e-06
290.6	7.6145e-06
290.8	7.6635e-06
291.0	7.5244e-06
291.2	7.3651e-06
291.4	7.2093e-06
291.6	7.0567e-06
291.8	6.9074e-06
292.0	6.7613e-06
292.2	6.6182e-06
292.4	6.4781e-06
292.6	6.3411e-06
292.8	6.2069e-06
293.0	6.0755e-06
293.2	5.947e-06
293.4	5.8211e-06
293.6	5.698e-06
293.8	5.5774e-06
294.0	5.4517e-06
294.2	5.3238e-06
294.4	5.199e-06
294.6	5.077e-06
294.8	4.9579e-06
295.0	4.8417e-06
295.2	4.7441e-06
295.4	4.6486e-06
295.6	4.5549e-06
295.8	4.4632e-06
296.0	4.3733e-06
296.2	4.2852e-06
296.4	4.1989e-06
296.6	4.1143e-06
296.8	4.0314e-06
297.0	3.9502e-06
297.2	3.8857e-06
297.4	3.9964e-06
297.6	4.1102e-06
297.8	4.2274e-06
298.0	4.3478e-06
298.2	4.4717e-06
298.4	4.5991e-06
298.6	4.7301e-06
298.8	4.8649e-06
299.0	5.0035e-06
299.2	5.146e-06
299.4	5.2926e-06
299.6	5.4434e-06
299.8	5.5985e-06
300.0	5.758e-06
300.2	5.922e-06
300.4	5.7015e-06
300.6	5.3936e-06
300.8	5.1023e-06
301.0	4.8268e-06
301.2	4.5661e-06
301.4	4.3195e-06
301.6	4.0863e-06
301.8	3.8656e-06
302.0	3.6568e-06
302.2	3.4594e-06
302.4	3.2725e-06
302.6	3.0958e-06
302.8	2.9286e-06
303.0	2.7705e-06
303.2	2.6209e-06
303.4	2.6648e-06
303.6	2.9082e-06
303.8	3.1737e-06
304.0	3.4634e-06
304.2	3.7797e-06
304.4	4.1248e-06
304.6	4.5013e-06
304.8	4.9123e-06
305.0	5.3608e-06
305.2	7.0772e-06
305.4	7.0948e-06
305.6	7.1125e-06
305.8	7.1302e-06
306.0	7.1479e-06
306.2	7.1657e-06
306.4	7.1836e-06
306.6	7.2015e-06
306.8	7.2194e-06
307.0	7.2374e-06
307.2	7.2555e-06
307.4	7.2735e-06
307.6	7.2916e-06
307.8	7.3098e-06
308.0	7.328e-06
308.2	7.3605e-06
308.4	7.5037e-06
308.6	7.6496e-06
308.8	7.7984e-06
309.0	7.9502e-06
309.2	8.1048e-06
309.4	8.2625e-06
309.6	8.4232e-06
309.8	8.5871e-06
310.0	8.7542e-06
310.2	8.9245e-06
310.4	9.0981e-06
310.6	9.2751e-06
310.8	9.4555e-06
311.0	9.6395e-06
311.2	9.827e-06
311.4	9.8196e-06
311.6	9.7601e-06
311.8	9.701e-06
312.0	9.6422e-06
312.2	9.5838e-06
312.4	9.5257e-06
312.6	9.468e-06
312.8	9.4107e-06
313.0	9.3537e-06
313.2	9.297e-06
313.4	9.2407e-06
313.6	9.1847e-06
313.8	9.1291e-06
314.0	9.0738e-06
314.2	9.0188e-06
314.4	9.0701e-06
314.6	9.2433e-06
314.8	9.4198e-06
315.0	9.5997e-06
315.2	9.783e-06
315.4	9.9699e-06
315.6	1.016e-05
315.8	1.0354e-05
316.0	1.0552e-05
316.2	1.0754e-05
316.4	1.0959e-05
316.6	1.1168e-05
316.8	1.1381e-05
317.0	1.1599e-05
317.2	1.182e-05
317.4	1.2071e-05
317.6	1.2471e-05
317.8	1.2883e-05
318.0	1.3309e-05
318.2	1.3749e-05
318.4	1.4203e-05
318.6	1.4673e-05
318.8	1.5158e-05
319.0	1.5659e-05
319.2	1.6176e-05
319.4	1.6711e-05
319.6	1.7264e-05
319.8	1.7834e-05
320.0	1.8424e-05
320.2	1.9033e-05
320.4	1.9662e-05
320.6	2.0404e-05
320.8	2.1192e-05
321.0	2.2011e-05
321.2	2.2861e-05
321.4	2.3744e-05
321.6	2.466e-05
321.8	2.5613e-05
322.0	2.6602e-05
322.2	2.7629e-05
322.4	2.8696e-05
322.6	2.9804e-05
322.8	3.0955e-05
323.0	3.2151e-05
323.2	3.3392e-05
323.4	3.4682e-05
323.6	3.5104e-05
323.8	3.4758e-05
324.0	3.4416e-05
324.2	3.4077e-05
324.4	3.3742e-05
324.6	3.341e-05
324.8	3.3081e-05
325.0	3.2755e-05
325.2	3.2433e-05
325.4	3.2113e-05
325.6	3.1797e-05
325.8	3.1484e-05
326.0	3.1174e-05
326.2	3.0867e-05
326.4	3.0564e-05
326.6	2.9832e-05
326.8	2.7825e-05
327.0	2.5953e-05
327.2	2.4206e-05
327.4	2.2578e-05
327.6	2.1059e-05
327.8	1.9642e-05
328.0	1.832e-05
328.2	1.7088e-05
328.4	1.5938e-05
328.6	1.4866e-05
328.8	1.3865e-05
329.0	1.2932e-05
329.2	1.2062e-05
329.4	1.1251e-05
329.6	1.0494e-05
329.8	9.8337e-06
330.0	9.2175e-06
330.2	8.6398e-06
330.4	8.0984e-06
330.6	7.5909e-06
330.8	7.1152e-06
331.0	6.6693e-06
331.2	6.2513e-06
331.4	5.8596e-06
331.6	5.4923e-06
331.8	5.1482e-06
332.0	4.8255e-06
332.2	4.5231e-06
332.4	4.2397e-06
332.6	3.974e-06
332.8	3.8614e-06
333.0	3.8222e-06
333.2	3.7834e-06
333.4	3.7451e-06
333.6	3.7071e-06
333.8	3.6694e-06
334.0	3.6322e-06
334.2	3.5953e-06
334.4	3.5589e-06
334.6	3.5228e-06
334.8	3.487e-06
335.0	3.4516e-06
335.2	3.4166e-06
335.4	3.3819e-06
335.6	3.3476e-06
335.8	3.3121e-06
336.0	3.2745e-06
336.2	3.2372e-06
336.4	3.2004e-06
336.6	3.1641e-06
336.8	3.1281e-06
337.0	3.0926e-06
337.2	3.0574e-06
337.4	3.0227e-06
337.6	2.9883e-06
337.8	2.9543e-06
338.0	2.9208e-06
338.2	2.8876e-06
338.4	2.8547e-06
338.6	2.8223e-06
338.8	2.7928e-06
339.0	2.7867e-06
339.2	2.7805e-06
339.4	2.7744e-06
339.6	2.7683e-06
339.8	2.7622e-06
340.0	2.7562e-06
340.2	2.7501e-06
340.4	2.7441e-06
340.6	2.7381e-06
340.8	2.732e-06
341.0	2.726e-06
341.2	2.7201e-06
341.4	2.7141e-06
341.6	2.7081e-06
341.8	2.7022e-06
342.0	2.6635e-06
342.2	2.6188e-06
342.4	2.5748e-06
342.6	2.5316e-06
342.8	2.489e-06
343.0	2.4473e-06
343.2	2.4062e-06
343.4	2.3658e-06
343.6	2.3261e-06
343.8	2.287e-06
344.0	2.2486e-06
344.2	2.2108e-06
344.4	2.1737e-06
344.6	2.1372e-06
344.8	2.1013e-06
345.0	2.0817e-06
345.2	2.0746e-06
345.4	2.0675e-06
345.6	2.0604e-06
345.8	2.0534e-06
346.0	2.0463e-06
346.2	2.0393e-06
346.4	2.0323e-06
346.6	2.0254e-06
346.8	2.0184e-06
347.0	2.0115e-06
347.2	2.0046e-06
347.4	1.9978e-06
347.6	1.9909e-06
347.8	1.9841e-06
348.0	1.974e-06
348.2	1.9562e-06
348.4	1.9386e-06
348.6	1.9211e-06
348.8	1.9038e-06
349.0	1.8867e-06
349.2	1.8697e-06
349.4	1.8529e-06
349.6	1.8362e-06
349.8	1.8196e-06
350.0	1.8033e-06
350.2	1.787e-06
350.4	1.7709e-06
350.6	1.755e-06
350.8	1.7392e-06
351.0	1.7241e-06
351.2	1.7207e-06
351.4	1.7174e-06
351.6	1.7141e-06
351.8	1.7107e-06
352.0	1.7074e-06
352.2	1.7041e-06
352.4	1.7008e-06
352.6	1.6975e-06
352.8	1.6942e-06
353.0	1.6909e-06
353.2	1.6877e-06
353.4	1.6844e-06
353.6	1.6811e-06
353.8	1.6779e-06
354.0	1.6746e-06
354.2	1.6822e-06
354.4	1.6926e-06
354.6	1.7032e-06
354.8	1.7138e-06
355.0	1.7244e-06
355.2	1.7351e-06
355.4	1.7459e-06
355.6	1.7568e-06
355.8	1.7677e-06
356.0	1.7787e-06
356.2	1.7898e-06
356.4	1.8009e-06
356.6	1.8121e-06
356.8	1.8234e-06
357.0	1.8347e-06
357.2	1.8262e-06
357.4	1.8013e-06
357.6	1.7768e-06
357.8	1.7525e-06
358.0	1.7286e-06
358.2	1.7051e-06
358.4	1.6818e-06
358.6	1.6589e-06
358.8	1.6363e-06
359.0	1.614e-06
359.2	1.592e-06
359.4	1.5703e-06
359.6	1.5489e-06
359.8	1.5278e-06
360.0	1.507e-06
360.2	1.5104e-06
360.4	1.5699e-06
360.6	1.6318e-06
360.8	1.6962e-06
361.0	1.7631e-06
361.2	1.8326e-06
361.4	1.9049e-06
361.6	1.98e-06
361.8	2.0581e-06
362.0	2.1392e-06
362.2	2.2236e-06
362.4	2.3113e-06
362.6	2.4024e-06
362.8	2.4971e-06
363.0	2.5956e-06
363.2	2.6527e-06
363.4	2.1652e-06
363.6	1.7672e-06
363.8	1.4424e-06
364.0	1.1773e-06
364.2	9.6097e-07
364.4	7.8436e-07
364.6	6.4021e-07
364.8	5.2255e-07
365.0	4.2651e-07
365.2	7.8804e-07
365.4	6.8825e-07
365.6	7.4817e-07
365.8	8.1929e-07
366.0	8.15e-07
366.2	7.8252e-07
366.4	7.5501e-07
366.6	6.6766e-07
366.8	7.9914e-07
367.0	7.5269e-07
367.2	8.0106e-07
367.4	7.1882e-07
367.6	7.7083e-07
367.8	8.0517e-07
368.0	8.155e-07
368.2	7.4346e-07
368.4	7.4578e-07
368.6	7.5069e-07
368.8	8.3983e-07
369.0	7.5895e-07
369.2	7.5173e-07
369.4	7.1296e-07
369.6	7.7791e-07
369.8	7.078e-07
370.0	8.4742e-07
370.2	8.134e-07
370.4	7.5135e-07
370.6	6.9002e-07
370.8	7.0096e-07
371.0	7.8454e-07
371.2	7.5664e-07
371.4	7.6711e-07
371.6	7.4145e-07
371.8	7.8502e-07
372.0	7.4843e-07
372.2	7.7695e-07
372.4	8.1414e-07
372.6	7.5013e-07
372.8	7.2748e-07
373.0	7.3096e-07
373.2	8.4332e-07
373.4	7.9283e-07
373.6	7.0107e-07
373.8	7.2486e-07
374.0	8.0339e-07
374.2	7.5933e-07
374.4	8.2779e-07
374.6	7.1312e-07
374.8	7.8475e-07
375.0	7.481e-07
375.2	7.7379e-07
375.4	8.4826e-07
375.6	7.5725e-07
375.8	7.1243e-07
376.0	7.0976e-07
376.2	8.0934e-07
376.4	8.2765e-07
376.6	7.4696e-07
376.8	7.5775e-07
377.0	7.4779e-07
377.2	8.2273e-07
377.4	7.9196e-07
377.6	7.6557e-07
377.8	7.8379e-07
378.0	7.8636e-07
378.2	7.8966e-07
378.4	8.311e-07
378.6	7.4299e-07
378.8	7.7542e-07
379.0	7.4265e-07
379.2	7.1761e-07
379.4	8.0166e-07
379.6	8.3215e-07
379.8	7.7933e-07
380.0	7.3086e-07
380.2	8.0185e-07
380.4	7.6654e-07
380.6	7.6057e-07
380.8	8.1194e-07
381.0	7.6513e-07
381.2	7.8754e-07
381.4	7.7368e-07
381.6	8.0143e-07
381.8	8.3935e-07
382.0	7.9234e-07
382.2	7.3791e-07
382.4	7.7939e-07
382.6	8.1088e-07
382.8	7.8239e-07
383.0	7.4638e-07
383.2	7.4784e-07
383.4	7.087e-07
383.6	7.7145e-07
383.8	7.8719e-07
384.0	7.996e-07
384.2	7.5036e-07
384.4	7.6184e-07
384.6	7.8815e-07
384.8	7.8652e-07
385.0	8.2825e-07
385.2	7.8338e-07
385.4	7.5853e-07
385.6	8.1753e-07
385.8	8.1662e-07
386.0	8.1915e-07
386.2	7.4582e-07
386.4	7.8712e-07
386.6	7.6939e-07
386.8	8.1386e-07
387.0	7.9731e-07
387.2	8.3538e-07
387.4	7.9439e-07
387.6	8.048e-07
387.8	8.249e-07
388.0	7.9952e-07
388.2	8.4977e-07
388.4	8.3242e-07
388.6	7.834e-07
388.8	8.1972e-07
389.0	7.879e-07
389.2	8.0314e-07
389.4	7.9984e-07
389.6	7.9848e-07
389.8	7.7695e-07
390.0	8.0358e-07
390.2	7.832e-07
390.4	8.4642e-07
390.6	8.0125e-07
390.8	8.1717e-07
391.0	8.1101e-07
391.2	8.3938e-07
391.4	8.0105e-07
391.6	7.547e-07
391.8	8.5101e-07
392.0	7.991e-07
392.2	8.8885e-07
392.4	8.3568e-07
392.6	8.2377e-07
392.8	7.6801e-07
393.0	7.9394e-07
393.2	8.1093e-07
393.4	8.4194e-07
393.6	8.3673e-07
